working_id,equipment,name_en_normalized,name_ko_candidate,naming_status,body_part_ko,recording_type,semantic_flags
gvs_9ad52e26603e2bc8,Barbell,Barbell Box Squat,바벨 박스 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_d5d152c308e6b76b,Barbell,Barbell Clean And Jerk,바벨 클린 앤 저크,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_4d2e54fccea5768a,Barbell,Barbell Clean And Press,바벨 클린 앤 프레스,NEW_HIGH_CONFIDENCE_DRAFT,어깨,weight_reps,
gvs_6d831437f2b6002f,Barbell,Barbell Clean Deadlift,바벨 클린 데드리프트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_2997973f07fac93f,Barbell,Barbell Clean Grip Front Squat,,UNRESOLVED,하체,weight_reps,
gvs_31997e5d9258cafd,Barbell,Barbell Clean High Pull,바벨 클린 하이 풀,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_5419d809d08079d9,Barbell,Barbell Clean Pull,바벨 클린 풀,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_19b488aa7a8e6504,Barbell,Barbell Close Grip Bench Press,바벨 클로즈 그립 벤치프레스,EXISTING_DRAFT,팔,weight_reps,BODY_MUSCLE_FAMILY_CONFLICT
gvs_4b549419973f026d,Barbell,Barbell Close Grip Larsen Press,바벨 클로즈 그립 라슨 프레스,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_13f6672e8461d524,Barbell,Barbell Cossack Squat,,UNRESOLVED,하체,weight_reps,
gvs_bfce1a4eb46fb7a8,Barbell,Barbell Curl,바벨 컬,NEW_HIGH_CONFIDENCE_DRAFT,팔,weight_reps,
gvs_c33f0dc864e140ca,Barbell,Barbell Curl Press Extension,바벨 컬 프레스 익스텐션,NEW_HIGH_CONFIDENCE_DRAFT,팔,weight_reps,
gvs_2d3af959419e0081,Barbell,Barbell Curl Upper Arms Without Weight,,UNRESOLVED,팔,weight_reps,
gvs_dfa0f17d3c64ac21,Barbell,Barbell Curtsey Lunge,,UNRESOLVED,하체,weight_reps,
gvs_ec0fec80908e048a,Barbell,Barbell Deadlift,바벨 데드리프트,EXISTING_DRAFT,하체,weight_reps,
gvs_5d06c8c80a49b9ca,Barbell,Barbell Deadlift (360 Degrees),,UNRESOLVED,하체,weight_reps,
gvs_552c532e4662780c,Barbell,Barbell Deadlift From Blocks,바벨 데드리프트 블록,NEW_REVIEW_DRAFT,하체,weight_reps,
gvs_806cc3fd85743a31,Barbell,Barbell Deadlift From Deficit,바벨 데드리프트 데피싯,NEW_REVIEW_DRAFT,하체,weight_reps,
gvs_288c081d2ea98d99,Barbell,Barbell Decline Bench Press,바벨 디클라인 벤치프레스,EXISTING_DRAFT,가슴,weight_reps,
gvs_323e5ae034de554e,Barbell,Barbell Decline Pullover,바벨 디클라인 풀오버,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_a35a6a831329b1ab,Barbell,Barbell Decline Shrug,바벨 디클라인 슈러그,EXISTING_DRAFT,등,weight_reps,
gvs_863a17a26e3036e8,Barbell,Barbell Dimel Deadlift,,UNRESOLVED,하체,weight_reps,
gvs_43372154ccaa37e6,Barbell,Barbell Drag Curl,바벨 드래그 컬,NEW_HIGH_CONFIDENCE_DRAFT,팔,weight_reps,
gvs_884662851bcbb52d,Barbell,Barbell Elevated Heel Clean Grip Squat,,UNRESOLVED,하체,weight_reps,
gvs_62c21affe507bdf7,Barbell,Barbell Elevated Heel Squat,,UNRESOLVED,하체,weight_reps,
gvs_7a0090ed8b1cee99,Barbell,Barbell Explosive Bench Press,바벨 익스플로시브 벤치프레스,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_d83cc3b2f24b146c,Barbell,Barbell Feet Flat Bench Press,,UNRESOLVED,가슴,weight_reps,
gvs_13928f76ec555174,Barbell,Barbell Finger Curls,,UNRESOLVED,팔,weight_reps,
gvs_4bd5cd39e0c9e4d5,Barbell,Barbell Floor Calf Raise,바벨 플로어 카프 레이즈,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_64b04c4aef7aa360,Barbell,Barbell Floor Chest Press,바벨 플로어 체스트 프레스,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_19982633cc9bf443,Barbell,Barbell Forward Backward Lunge,바벨 포워드 백워드 런지,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_c46a91752c67eb51,Barbell,Barbell Front Bench Squat,바벨 프론트 벤치 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_36def07665e0afa0,Barbell,Barbell Front Chest Squat,바벨 프론트 체스트 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_9fb128f35bfa35b3,Barbell,Barbell Front Rack Lunge,,UNRESOLVED,하체,weight_reps,
gvs_e1b3d351aea54045,Barbell,Barbell Front Rack Split Squat,,UNRESOLVED,하체,weight_reps,
gvs_498ab97983fba3f1,Barbell,Barbell Front Raise,바벨 프론트 레이즈,EXISTING_DRAFT,어깨,weight_reps,
gvs_9550c2a6daf50444,Barbell,Barbell Front Squat,바벨 프론트 스쿼트,EXISTING_DRAFT,하체,weight_reps,
gvs_be43b1f8be2cab82,Barbell,Barbell Full Clean,바벨 풀 클린,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_4f526893a431e7b3,Barbell,Barbell Full Squat,바벨 풀 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_772a7c5c9f701aca,Barbell,Barbell Full Squat (With Rack),,UNRESOLVED,하체,weight_reps,
gvs_70b0faea8b8d6cb8,Barbell,Barbell Full Zercher Squat,바벨 풀 저처 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_ca68d13024d1384e,Barbell,Barbell Glute Bridge (Hands On Bar),,UNRESOLVED,하체,weight_reps,
gvs_dc1670b1614807bd,Barbell,Barbell Good Morning,바벨 굿모닝,EXISTING_DRAFT,하체,weight_reps,
gvs_674bd8349a9d9f1a,Barbell,Barbell Guillotine Bench Press,바벨 길로틴 벤치프레스,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_8cae1cabde3885db,Barbell,Barbell Hack Squat,바벨 핵 스쿼트,EXISTING_DRAFT,하체,weight_reps,
gvs_7af0bc6936bd189d,Barbell,Barbell Hang Clean,바벨 행 클린,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_26faebc0f94b3c9a,Barbell,Barbell Hang Clean Below The Knees,,UNRESOLVED,,weight_reps,
gvs_a442db05ddb08d91,Barbell,Barbell Hang Snatch,바벨 행 스내치,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_9843a6ee53ab0bbc,Barbell,Barbell Hang Snatch Below The Knees,,UNRESOLVED,,weight_reps,
gvs_26d06b53832b3eeb,Barbell,Barbell Hang Snatch Weightlifts,,UNRESOLVED,,weight_reps,
gvs_8c74351063ccee7e,Barbell,Barbell High Bar Squat,바벨 하이바 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_ed3f7bab2bb63d33,Barbell,Barbell Hip Thrust,바벨 힙 쓰러스트,EXISTING_DRAFT,하체,weight_reps,
gvs_b1b132c6e6485210,Barbell,Barbell Hook Grip Deadlift,바벨 후크 그립 데드리프트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_d4372ec5dc59e7d9,Barbell,Barbell Hyperextension,바벨 하이퍼익스텐션,EXISTING_DRAFT,하체,weight_reps,
gvs_cd7d543ea35f6df8,Barbell,Barbell Incline Bench Press,바벨 인클라인 벤치프레스,EXISTING_DRAFT,가슴,weight_reps,
gvs_3d81ea3e9280ea58,Barbell,Barbell Incline Close Grip Bench Press,바벨 인클라인 클로즈 그립 벤치프레스,EXISTING_DRAFT,팔,weight_reps,BODY_MUSCLE_FAMILY_CONFLICT
gvs_c007387be892af13,Barbell,Barbell Incline Lying Rear Delt Raise,바벨 인클라인 라잉 리어 델트 레이즈,EXISTING_DRAFT,어깨,weight_reps,
gvs_cef9a38f193d09a7,Barbell,Barbell Incline Rear Delt Row,바벨 인클라인 리어 델트 로우,NEW_REVIEW_DRAFT,등,weight_reps,BODY_MUSCLE_FAMILY_CONFLICT
gvs_4c62f4b84585e2ba,Barbell,Barbell Incline Row,바벨 인클라인 로우,EXISTING_DRAFT,등,weight_reps,
gvs_732fa8c4d7d39b4a,Barbell,Barbell Incline Shoulders Press,바벨 인클라인 숄더 프레스,NEW_HIGH_CONFIDENCE_DRAFT,어깨,weight_reps,
gvs_4156f4a1ee0e2251,Barbell,Barbell Incline Shoulders Press (Inside Squat Cage,,UNRESOLVED,하체,weight_reps,
gvs_3376bb8b1ae0d13b,Barbell,Barbell Incline Triceps Extension Skull Crusher,바벨 인클라인 트라이셉 익스텐션 스컬 크러셔,EXISTING_DRAFT,팔,weight_reps,
gvs_77870eb1fa50f209,Barbell,Barbell Jefferson Squat,바벨 제퍼슨 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_4cf9ede2553dd850,Barbell,Barbell Jm Bench Press,,UNRESOLVED,팔,weight_reps,BODY_MUSCLE_FAMILY_CONFLICT
gvs_462132cb40a81823,Barbell,Barbell Jump Squat,,UNRESOLVED,하체,weight_reps,
gvs_a4c2fe78342ebb92,Barbell,Barbell Kas Glute Bridge,,UNRESOLVED,하체,weight_reps,
gvs_3d08580c155ffa72,Barbell,Barbell Larsen Press,바벨 라슨 프레스,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_a5f77daed3c77934,Barbell,Barbell Lateral Lunge,,UNRESOLVED,하체,weight_reps,
gvs_dcd4c710a15a73a6,Barbell,Barbell Leg Twist Press,,UNRESOLVED,가슴,weight_reps,
gvs_616f9e9fd88fec77,Barbell,Barbell Low Bar Squat,바벨 로우바 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_33e6ab884439d34e,Barbell,Barbell Low Bar Squat With Rack,,UNRESOLVED,하체,weight_reps,
gvs_779eb5b4488528a6,Barbell,Barbell Low Split Squat,바벨 로우 스플릿 스쿼트,EXISTING_DRAFT,하체,weight_reps,
gvs_ab5d84f70b5a7007,Barbell,Barbell Lunge,바벨 런지,EXISTING_DRAFT,하체,weight_reps,
gvs_0d5d5ca5d5c971e5,Barbell,Barbell Lunge Twist,바벨 런지 트위스트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_e53ba11e0b860bac,Barbell,Barbell Lying Close Grip Press,바벨 라잉 클로즈 그립 프레스,NEW_HIGH_CONFIDENCE_DRAFT,팔,weight_reps,
gvs_8ed88dfa2728c43c,Barbell,Barbell Lying Close Grip Underhand Row On Rack,,UNRESOLVED,등,weight_reps,
gvs_fe82babf53aa523f,Barbell,Barbell Lying Row On Rack,,UNRESOLVED,등,weight_reps,
gvs_082154a0922e8ea6,Barbell,Barbell Lying Seal Row On Rack,,UNRESOLVED,등,weight_reps,
gvs_52b3af73679e4bf3,Barbell,Barbell Lying Triceps Extension,바벨 라잉 트라이셉 익스텐션,EXISTING_DRAFT,팔,weight_reps,
gvs_1495e991ffa3db01,Barbell,Barbell Lying Triceps Extension Skull Crusher,바벨 라잉 트라이셉 익스텐션 스컬 크러셔,EXISTING_DRAFT,팔,weight_reps,
gvs_98781f32ce0cc578,Barbell,Barbell Mixed Grip Deadlift,바벨 믹스드 그립 데드리프트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_715863a18c5372fd,Barbell,Barbell Muscle Clean,바벨 머슬 클린,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_3d70323741611f47,Barbell,Barbell Narrow Stance Squat,바벨 내로우 스탠스 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_d643316c27705976,Barbell,Barbell Olympic Squat,바벨 올림픽 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_a43a8a7382c588bb,Barbell,Barbell Overhead Lunge,바벨 오버헤드 런지,EXISTING_DRAFT,하체,weight_reps,
gvs_7c3054ed7da71cd9,Barbell,Barbell Overhead Shrug,바벨 오버헤드 슈러그,EXISTING_DRAFT,등,weight_reps,
gvs_48158433e7b4dfe3,Barbell,Barbell Palms Down Wrist Curl Over A Bench,,UNRESOLVED,팔,weight_reps,
gvs_b51a937a9c2dacf0,Barbell,Barbell Pause Bench Press,바벨 포즈 벤치프레스,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_3a1d4320d04f973a,Barbell,Barbell Pause Deadlift,바벨 포즈 데드리프트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_e52624fdaad97209,Barbell,Barbell Pause Decline Bench Press,바벨 포즈 디클라인 벤치프레스,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_994b6593410ea6eb,Barbell,Barbell Pause Front Squat,바벨 포즈 프론트 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_f6531d3597798be1,Barbell,Barbell Pause Full Squat,바벨 포즈 풀 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_c5e24661d4fec525,Barbell,Barbell Pause Incline Bench Press,바벨 포즈 인클라인 벤치프레스,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_e7b064df4846b8cf,Barbell,Barbell Pause Lunge,바벨 포즈 런지,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_c60d6e42563c0810,Barbell,Barbell Paused Bent Over Row,,UNRESOLVED,등,weight_reps,
gvs_12ae356840e94f62,Barbell,Barbell Paused Sumo Deadlift,,UNRESOLVED,하체,weight_reps,
gvs_78c97a80c6eb5b52,Barbell,Barbell Pendlay Row,,UNRESOLVED,등,weight_reps,
gvs_d06554172359ca8f,Barbell,Barbell Pin Bench Press Conventional Grip C,,UNRESOLVED,가슴,weight_reps,
gvs_845cebd964fa4bf5,Barbell,Barbell Pin Chest Press,,UNRESOLVED,가슴,weight_reps,
gvs_9a0795a7e7c08e67,Barbell,Barbell Pin Front Squat,,UNRESOLVED,하체,weight_reps,
gvs_674b9f90a42cd7c6,Barbell,Barbell Pin Good Morning,,UNRESOLVED,하체,weight_reps,
gvs_770ee289d04cda71,Barbell,Barbell Power Clean,바벨 파워 클린,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_3ac6fde522062d65,Barbell,Barbell Power Clean From Blocks,바벨 파워 클린 블록,NEW_REVIEW_DRAFT,,weight_reps,
gvs_b91e535d9d3a5995,Barbell,Barbell Power Jerk,,UNRESOLVED,,weight_reps,
gvs_6e4230222c7a6cb4,Barbell,Barbell Power Snatch,바벨 파워 스내치,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_1531a4e987f8ee6d,Barbell,Barbell Power Snatch From Blocks,바벨 파워 스내치 블록,NEW_REVIEW_DRAFT,,weight_reps,
gvs_55d8366ecfa645f0,Barbell,Barbell Preacher Curl,바벨 프리처 컬,EXISTING_DRAFT,팔,weight_reps,
gvs_8515f60e5eb94e58,Barbell,Barbell Prone Incline Curl,,UNRESOLVED,팔,weight_reps,
gvs_68ab80cd8dea1781,Barbell,Barbell Pullover,바벨 풀오버,NEW_HIGH_CONFIDENCE_DRAFT,등,weight_reps,
gvs_f6d76dda76b5e73c,Barbell,Barbell Pullover With Bench Press,,UNRESOLVED,가슴,weight_reps,
gvs_185abc2393649ecb,Barbell,Barbell Quarter Squat,,UNRESOLVED,하체,weight_reps,
gvs_58a2156cda777a96,Barbell,Barbell Rack Pull,,UNRESOLVED,하체,weight_reps,
gvs_6cdd760f00392a6f,Barbell,Barbell Rear Delt Raise,바벨 리어 델트 레이즈,EXISTING_DRAFT,어깨,weight_reps,
gvs_9226b5e095abc2c2,Barbell,Barbell Rear Delt Row,바벨 리어 델트 로우,NEW_HIGH_CONFIDENCE_DRAFT,어깨,weight_reps,
gvs_518aaa9ef2fec4c8,Barbell,Barbell Reeves Deadlift,,UNRESOLVED,하체,weight_reps,
gvs_7b393e74d26e508e,Barbell,Barbell Reverse Close Grip Bench Press,바벨 리버스 클로즈 그립 벤치프레스,EXISTING_DRAFT,팔,weight_reps,BODY_MUSCLE_FAMILY_CONFLICT
gvs_b073ca4a7813e8ac,Barbell,Barbell Reverse Curl,바벨 리버스 컬,EXISTING_DRAFT,팔,weight_reps,
gvs_f1679d9e867e0544,Barbell,Barbell Reverse Grip Bench Press,바벨 리버스 그립 벤치프레스,EXISTING_DRAFT,가슴,weight_reps,
gvs_5cc88c84b7e5f66e,Barbell,Barbell Reverse Grip Bench Press On Floor,,UNRESOLVED,가슴,weight_reps,
gvs_827bd57f3a4d653f,Barbell,Barbell Reverse Grip Bent Over Row,바벨 리버스 그립 벤트오버 로우,EXISTING_DRAFT,등,weight_reps,
gvs_9dee5e4ee7aa8fa8,Barbell,Barbell Reverse Grip Incline Bench Row,바벨 리버스 그립 인클라인 벤치 로우,NEW_HIGH_CONFIDENCE_DRAFT,등,weight_reps,
gvs_30ec5057e6c053cf,Barbell,Barbell Reverse Grip Overhead Press,바벨 리버스 그립 오버헤드 프레스,EXISTING_DRAFT,어깨,weight_reps,
gvs_59727b3d4f464025,Barbell,Barbell Reverse Lunge,바벨 리버스 런지,EXISTING_DRAFT,하체,weight_reps,
gvs_215a32e983eec4c9,Barbell,Barbell Reverse Preacher Curl,바벨 리버스 프리처 컬,EXISTING_DRAFT,팔,weight_reps,
gvs_af2e14afff925387,Barbell,Barbell Reverse Spider Curl,바벨 리버스 스파이더 컬,NEW_HIGH_CONFIDENCE_DRAFT,팔,weight_reps,
gvs_fc2997914ae590bd,Barbell,Barbell Reverse Wrist Curl,바벨 리버스 리스트 컬,EXISTING_DRAFT,팔,weight_reps,
gvs_efe5653fc106d4b7,Barbell,Barbell Rollout,,UNRESOLVED,하체,weight_reps,
gvs_5a3b5180dec931c2,Barbell,Barbell Romanian Deadlift,바벨 루마니안 데드리프트,EXISTING_DRAFT,하체,weight_reps,
gvs_b3ffa313b72f56c3,Barbell,Barbell Romanian Deadlift To Row,,UNRESOLVED,하체,weight_reps,
gvs_7c76ace6417e08f8,Barbell,Barbell Seated Behind Head Military Press,,UNRESOLVED,어깨,weight_reps,
gvs_391ee9b474ca79be,Barbell,Barbell Seated Calf Raise,바벨 시티드 카프 레이즈,EXISTING_DRAFT,하체,weight_reps,
gvs_4e5165dc6d756712,Barbell,Barbell Seated Close Grip Concentration Curl,바벨 시티드 클로즈 그립 컨센트레이션 컬,EXISTING_DRAFT,팔,weight_reps,
gvs_a7cec10d3a6ee679,Barbell,Barbell Seated Front Raise,바벨 시티드 프론트 레이즈,EXISTING_DRAFT,어깨,weight_reps,
gvs_27a6fe9fd21774ef,Barbell,Barbell Seated Good Morning,바벨 시티드 굿모닝,EXISTING_DRAFT,하체,weight_reps,
gvs_8158235eccac6964,Barbell,Barbell Seated Military Press (Inside Squat Cage),,UNRESOLVED,어깨,weight_reps,BODY_MUSCLE_FAMILY_CONFLICT
gvs_78be60d4c394c73e,Barbell,Barbell Seated Overhead Press,바벨 시티드 오버헤드 프레스,EXISTING_DRAFT,어깨,weight_reps,
gvs_8222644f7a8e4d7f,Barbell,Barbell Seated Overhead Triceps Extension,바벨 시티드 오버헤드 트라이셉 익스텐션,EXISTING_DRAFT,팔,weight_reps,
gvs_114d1fb8845d2e8a,Barbell,Barbell Seated Shrug,바벨 시티드 슈러그,EXISTING_DRAFT,등,weight_reps,
gvs_0e6597a2e9a3bc44,Barbell,Barbell Seated Twist (On Stability Ball),,UNRESOLVED,코어,weight_reps,
gvs_0f87c16cfdedac46,Barbell,Barbell Shoulder Grip Upright Row,,UNRESOLVED,어깨,weight_reps,BODY_MUSCLE_FAMILY_CONFLICT
gvs_a2ba38667082b73c,Barbell,Barbell Shrug,바벨 슈러그,EXISTING_DRAFT,등,weight_reps,
gvs_d80889449f06ea9a,Barbell,Barbell Side Bent,,UNRESOLVED,코어,weight_reps,
gvs_3aaa5a0f2c1091d7,Barbell,Barbell Side Split Squat,바벨 사이드 스플릿 스쿼트,EXISTING_DRAFT,하체,weight_reps,
gvs_fe3851b591be1e39,Barbell,Barbell Single Arm Bent Over Row,바벨 원암 벤트오버 로우,EXISTING_DRAFT,등,weight_reps,
gvs_b3dc3a562f4ce2e4,Barbell,Barbell Single Arm Side Deadlift,바벨 원암 사이드 데드리프트,EXISTING_DRAFT,하체,weight_reps,
gvs_a940507b0be2d7e3,Barbell,Barbell Single Arm Twisted Clean And Press,,UNRESOLVED,하체,weight_reps,
gvs_b7eaaf68f382d4c6,Barbell,Barbell Single Leg Deadlift,바벨 싱글 레그 데드리프트,EXISTING_DRAFT,하체,weight_reps,
gvs_d4daad688828a0b2,Barbell,Barbell Single Leg Good Morning,바벨 싱글 레그 굿모닝,EXISTING_DRAFT,하체,weight_reps,
gvs_15a6e731ee58f421,Barbell,Barbell Single Leg Hip Thrust,바벨 싱글 레그 힙 쓰러스트,EXISTING_DRAFT,하체,weight_reps,
gvs_1091a5dc5d888042,Barbell,Barbell Single Leg Split Squat,바벨 싱글 레그 스플릿 스쿼트,EXISTING_DRAFT,하체,weight_reps,
gvs_c534708749a9c607,Barbell,Barbell Single Leg Squat,바벨 싱글 레그 스쿼트,EXISTING_DRAFT,하체,weight_reps,
gvs_17f336ac1f4cae42,Barbell,Barbell Skier,,UNRESOLVED,어깨,weight_reps,
gvs_f0aaf5365a42f20c,Barbell,Barbell Snatch,바벨 스내치,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_7ce27939578c0ea5,Barbell,Barbell Snatch Balance,,UNRESOLVED,,weight_reps,
gvs_851a63ff6cb14dbf,Barbell,Barbell Snatch Deadlift,바벨 스내치 데드리프트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_74c2bfa0ece361de,Barbell,Barbell Snatch From Blocks,바벨 스내치 블록,NEW_REVIEW_DRAFT,,weight_reps,
gvs_69d9c720bef22ce6,Barbell,Barbell Snatch Grip Deadlift,,UNRESOLVED,하체,weight_reps,
gvs_bd18141d1c191929,Barbell,Barbell Split Clean,바벨 스플릿 클린,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_bf0b0df58f6c0761,Barbell,Barbell Split Jerk,바벨 스플릿 저크,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_05ec31e97b48d211,Barbell,Barbell Split Snatch,바벨 스플릿 스내치,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_262e02158ae090c9,Barbell,Barbell Split Squat,바벨 스플릿 스쿼트,EXISTING_DRAFT,하체,weight_reps,
gvs_94bc4f25b4760385,Barbell,Barbell Split Squat Front Foot Elevated,바벨 스플릿 스쿼트 프론트 풋 엘리베이티드,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_7729e6ea0f74e6b4,Barbell,Barbell Squat,바벨 스쿼트,EXISTING_DRAFT,하체,weight_reps,
gvs_6088ff4f349366e7,Barbell,Barbell Squat (On Knees),,UNRESOLVED,하체,weight_reps,
gvs_72eebab6a3cd71b4,Barbell,Barbell Squat 2 Sec Hold,,UNRESOLVED,하체,weight_reps,
gvs_94089cb6a4d6d2e8,Barbell,Barbell Squat Hips (Wrong Right),,UNRESOLVED,하체,weight_reps,
gvs_0c71f11db3c76889,Barbell,Barbell Squat Knees End Position (Wrong Right),,UNRESOLVED,하체,weight_reps,
gvs_8ca929fded6d75b9,Barbell,Barbell Squat Knees Middle Position (Wrong Right),,UNRESOLVED,하체,weight_reps,
gvs_98a0292b293c3e2b,Barbell,Barbell Srtict Curl,,UNRESOLVED,팔,weight_reps,
gvs_1b8bdfb601f9901c,Barbell,Barbell Staggered Stance Deadlift,바벨 스태거드 스탠스 데드리프트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_9ab51497b3f342ff,Barbell,Barbell Staggered Stance Hip Thrust,바벨 스태거드 스탠스 힙 쓰러스트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_04cf7e7519ff8c35,Barbell,Barbell Standing Back Wrist Curl,바벨 스탠딩 백 리스트 컬,NEW_HIGH_CONFIDENCE_DRAFT,팔,weight_reps,
gvs_bf8950321e066660,Barbell,Barbell Standing Bent Knee Calf Raise From Deficit,,UNRESOLVED,하체,weight_reps,
gvs_82373f23be532f6b,Barbell,Barbell Standing Calf Raise,바벨 스탠딩 카프 레이즈,EXISTING_DRAFT,하체,weight_reps,
gvs_a2d0fbe7b404ff37,Barbell,Barbell Standing Close Grip Curl,바벨 스탠딩 클로즈 그립 컬,NEW_HIGH_CONFIDENCE_DRAFT,팔,weight_reps,
gvs_1eb4a9b3d03243d3,Barbell,Barbell Standing Close Grip Military Press,바벨 스탠딩 클로즈 그립 밀리터리 프레스,EXISTING_DRAFT,어깨,weight_reps,
