working_id,equipment,name_en_normalized,name_ko_candidate,qa_status,qa_note
gvs_92872f8bf01a17fb,Smith Machine,Smith Single Leg Split Squat,스미스 머신 싱글 레그 스플릿 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_7681c2b9ed17c759,Smith Machine,Smith Split Squat,스미스 머신 스플릿 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_6b951dbb1ebec98b,Smith Machine,Smith Squat,스미스 머신 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_71a9a4c3b40ac4a3,Smith Machine,Smith Staggered Stance Romanian Deadlift,스미스 머신 스태거드 스탠스 루마니안 데드리프트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_07dae8c17c57791d,Smith Machine,Smith Standing Leg Calf Raise,스미스 머신 스탠딩 레그 카프 레이즈,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_b4b2c5f7915a7017,Smith Machine,Smith Standing Military Press,스미스 머신 스탠딩 밀리터리 프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_9695beb681a383a0,Smith Machine,Smith Standing Shoulder Press,스미스 머신 스탠딩 숄더 프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_39a688ad59862da1,Smith Machine,Smith Stiff Legged Deadlift,스미스 머신 스티프 레그 데드리프트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_586cd6b1b4c5d5f5,Smith Machine,Smith Sumo Deadlift,스미스 머신 스모 데드리프트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_ed2c11c9fc093015,Smith Machine,Smith Sumo Squat,스미스 머신 스모 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_8cb4d483370b9093,Smith Machine,Smith Upright Row,스미스 머신 업라이트 로우,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_62069a709e525dbe,Smith Machine,Smith Wide Shrug,스미스 머신 와이드 슈러그,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
