duplicate_review_group_id,duplicate_review_key,candidate_count,source_count,candidate_ids,candidate_names,review_status,qa_result,canonical_identity_key,candidate_reduction,media_policy,qa_scope,qa_reason
gvr_81f09213429d,dumbbell hammer curl,2,4,gvc_81f09213429d;gvc_e1d22d45d22f,Dumbbell Hammer Curl | Dumbbell Hammer Curl (version 2),manual_review_required,MERGE_IDENTITY,dumbbell hammer curl,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_508c43cad5c9,lever back extension,2,4,gvc_508c43cad5c9;gvc_34736999e80d,Lever Back Extension | Lever Back Extension (version 2),manual_review_required,MERGE_IDENTITY,lever back extension,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_067f0a089d4d,lever seated fly,2,4,gvc_067f0a089d4d;gvc_8bfa75e8947c,Lever Seated Fly | Lever Seated Fly (version 2),manual_review_required,MERGE_IDENTITY,lever seated fly,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_9e311408621e,lever seated row,2,4,gvc_9e311408621e;gvc_7ad7f82ad4f7,Lever Seated Row | Lever Seated Row (version 2),manual_review_required,MERGE_IDENTITY,lever seated row,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_09ca5f168b9c,lying around the world,2,4,gvc_09ca5f168b9c;gvc_26b1d91a9eaf,Lying Around The World | Lying Around The World (version 2),manual_review_required,MERGE_IDENTITY,lying around the world,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_3c309604ea9c,seated calf stretch,2,4,gvc_3c309604ea9c;gvc_4c64ef3ac51c,Seated Calf Stretch | Seated Calf Stretch (version 2),manual_review_required,MERGE_IDENTITY,seated calf stretch,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_819958a07a76,ski runners,2,4,gvc_819958a07a76;gvc_2d857e5c50af,Ski Runners | Ski Runners (version 2),manual_review_required,MERGE_IDENTITY,ski runners,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_fb26acb94d13,walking on spot,2,4,gvc_fb26acb94d13;gvc_1f7582fca5e6,Walking On Spot | Walking On Spot (version 2),manual_review_required,MERGE_IDENTITY,walking on spot,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_750fd6a1fc25,air twisting crunch,2,3,gvc_750fd6a1fc25;gvc_89403394cc9b,Air Twisting Crunch | Air Twisting Crunch (version 2),manual_review_required,MERGE_IDENTITY,air twisting crunch,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_0a51478b7596,alternate leg raise with head up,2,3,gvc_0a51478b7596;gvc_329291ce686c,Alternate Leg Raise With Head Up | Alternate Leg Raise With Head Up (version 2),manual_review_required,MERGE_IDENTITY,alternate leg raise with head up,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_a52a19862179,around the world superman,2,3,gvc_a52a19862179;gvc_bfac4e117517,Around The World Superman | Around The World Superman (version 2),manual_review_required,MERGE_IDENTITY,around the world superman,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_2eff564c40c7,band lateral raise,2,3,gvc_2eff564c40c7;gvc_4e19ae262756,Band Lateral Raise | Band Lateral Raise (version 2),manual_review_required,MERGE_IDENTITY,band lateral raise,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_7023a5a3b4dc,band narrow grip high row,2,3,gvc_7023a5a3b4dc;gvc_bbb9d74e16ec,Band Narrow Grip High Row | Band Narrow Grip High Row (version 2),manual_review_required,MERGE_IDENTITY,band narrow grip high row,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_48c44a122e81,band overhead triceps extension,2,3,gvc_48c44a122e81;gvc_f15d529d0964,Band Overhead Triceps Extension | Band Overhead Triceps Extension (version 2),manual_review_required,MERGE_IDENTITY,band overhead triceps extension,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_bf4e44410f44,barbell rear lunge,2,3,gvc_bf4e44410f44;gvc_9047db5e7e64,Barbell Rear Lunge | Barbell Rear Lunge (version 2),manual_review_required,MERGE_IDENTITY,barbell rear lunge,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_775770e8f255,barbell split squat,2,3,gvc_775770e8f255;gvc_35e997642c29,Barbell Split Squat | Barbell Split Squat (version 2),manual_review_required,MERGE_IDENTITY,barbell split squat,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_6b8413581de2,biceps curl front step,2,3,gvc_6b8413581de2;gvc_dc8f4148c37b,Biceps Curl Front Step | Biceps Curl Front Step (version 2),manual_review_required,MERGE_IDENTITY,biceps curl front step,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_7b378358b326,bird dog,2,3,gvc_7b378358b326;gvc_7c1dbde0ca1b,Bird Dog | Bird Dog (version 2),manual_review_required,MERGE_IDENTITY,bird dog,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_1f5e29b8676c,bodyweight skipping,2,3,gvc_1f5e29b8676c;gvc_f88b606a3eff,Bodyweight Skipping | Bodyweight Skipping (version 2),manual_review_required,MERGE_IDENTITY,bodyweight skipping,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_fc0b9d6cb8e6,cable kneeling triceps extension,2,3,gvc_fc0b9d6cb8e6;gvc_2fbbf8a4627c,Cable Kneeling Triceps Extension | Cable Kneeling Triceps Extension (version 2),manual_review_required,MERGE_IDENTITY,cable kneeling triceps extension,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_9b97c068017e,cable side bend,2,3,gvc_9b97c068017e;gvc_55429158bc80,Cable Side Bend | Cable Side Bend (version 2),manual_review_required,MERGE_IDENTITY,cable side bend,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_61fd09aa3ef8,cable twist up down,2,3,gvc_61fd09aa3ef8;gvc_051ee438bce7,Cable Twist (up Down) | Cable Twist (up Down) Version,manual_review_required,MERGE_IDENTITY,cable twist up down,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_cb07fd86a06a,coner wall chest stretch,2,3,gvc_cb07fd86a06a;gvc_596d957cc10f,Coner Wall Chest Stretch | Coner Wall Chest Stretch (version 2),manual_review_required,MERGE_IDENTITY,coner wall chest stretch,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_5a20ab6c94ba,decline sit up,2,3,gvc_5a20ab6c94ba;gvc_5476e4f23103,Decline Sit Up | Decline Sit Up (version 3),manual_review_required,MERGE_IDENTITY,decline sit up,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_0523a67dc591,dumbbell cross body hammer curl,2,3,gvc_0523a67dc591;gvc_816c3843752a,Dumbbell Cross Body Hammer Curl | Dumbbell Cross Body Hammer Curl (version 2),manual_review_required,MERGE_IDENTITY,dumbbell cross body hammer curl,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_bb59b8ccccea,dumbbell front raise,2,3,gvc_bb59b8ccccea;gvc_26507137481d,Dumbbell Front Raise | Dumbbell Front Raise (version 3),manual_review_required,MERGE_IDENTITY,dumbbell front raise,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_736f68f2858c,dumbbell hip thrust,2,3,gvc_736f68f2858c;gvc_56f8ae04c13c,Dumbbell Hip Thrust | Dumbbell Hip Thrust (version 2),manual_review_required,MERGE_IDENTITY,dumbbell hip thrust,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_25b4d31033a9,dumbbell hyperextension,2,3,gvc_25b4d31033a9;gvc_d50f0fd90ca0,Dumbbell Hyperextension | Dumbbell Hyperextension (version 2),manual_review_required,MERGE_IDENTITY,dumbbell hyperextension,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_272273cab95b,dumbbell lying hammer press,2,3,gvc_272273cab95b;gvc_fc911e6d6b50,Dumbbell Lying Hammer Press | Dumbbell Lying Hammer Press (version 2),manual_review_required,MERGE_IDENTITY,dumbbell lying hammer press,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_39ebb5860b63,dumbbell pullover,2,3,gvc_39ebb5860b63;gvc_c01454dc02fa,Dumbbell Pullover | Dumbbell Pullover (version 2),manual_review_required,MERGE_IDENTITY,dumbbell pullover,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_ed9cd9841ece,dumbbell seated triceps extension,2,3,gvc_ed9cd9841ece;gvc_a45dc3b6db92,Dumbbell Seated Triceps Extension | Dumbbell Seated Triceps Extension (version 2),manual_review_required,MERGE_IDENTITY,dumbbell seated triceps extension,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_76e2dc98dcbf,dumbbell side lunge,2,3,gvc_76e2dc98dcbf;gvc_d994d5143cd3,Dumbbell Side Lunge | Dumbbell Side Lunge (version 3),manual_review_required,MERGE_IDENTITY,dumbbell side lunge,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_66f8e5a0e7ee,dumbbell single leg squat,2,3,gvc_66f8e5a0e7ee;gvc_13a3e3a8ebed,Dumbbell Single Leg Squat | Dumbbell Single Leg Squat (version 2),manual_review_required,MERGE_IDENTITY,dumbbell single leg squat,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_98a3dfdf6058,dumbbell step up,2,3,gvc_98a3dfdf6058;gvc_4a9dc723dba7,Dumbbell Step Up | Dumbbell Step Up (version 2),manual_review_required,MERGE_IDENTITY,dumbbell step up,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_dafe1c217728,dumbbell straight arm pullover,2,3,gvc_dafe1c217728;gvc_f0679c57fc5b,Dumbbell Straight Arm Pullover | Dumbbell Straight Arm Pullover (version 2) (,manual_review_required,MERGE_IDENTITY,dumbbell straight arm pullover,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_d00c38c7e808,floor t raise,2,3,gvc_d00c38c7e808;gvc_d070d4cba402,Floor T Raise | Floor T Raise (version 2),manual_review_required,MERGE_IDENTITY,floor t raise,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_87ae7911828c,handstand push up,2,3,gvc_87ae7911828c;gvc_34f2efe5104d,Handstand Push Up | Handstand Push Up (version 2),manual_review_required,MERGE_IDENTITY,handstand push up,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_b5a3da53cfba,hip raise bent knee,2,3,gvc_b5a3da53cfba;gvc_2597ba8f3b00,Hip Raise (bent Knee) | Hip Raise (bent Knee) (version 2),manual_review_required,MERGE_IDENTITY,hip raise bent knee,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_5a0bdcf162d1,hyperextension,2,3,gvc_5a0bdcf162d1;gvc_fa5643a834f0,Hyperextension | Hyperextension (version 2),manual_review_required,MERGE_IDENTITY,hyperextension,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_774beb0c3729,inchworm,2,3,gvc_774beb0c3729;gvc_69f7a6e68a8e,Inchworm | Inchworm (version 3),manual_review_required,MERGE_IDENTITY,inchworm,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_8b3be6f08ec9,incline twisting sit up,2,3,gvc_8b3be6f08ec9;gvc_ee4d86d8e20f,Incline Twisting Sit Up | Incline Twisting Sit Up (version 2),manual_review_required,MERGE_IDENTITY,incline twisting sit up,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_020e4d71fefe,kicks leg bent,2,3,gvc_020e4d71fefe;gvc_10adb00d25dd,Kicks Leg Bent | Kicks Leg Bent (version 2),manual_review_required,MERGE_IDENTITY,kicks leg bent,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_6a9afbd90a03,landmine romanian deadlift,2,3,gvc_6a9afbd90a03;gvc_ce8f6be01e08,Landmine Romanian Deadlift | Landmine Romanian Deadlift (version 2),manual_review_required,MERGE_IDENTITY,landmine romanian deadlift,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_09bc43163d13,lever lateral raise,2,3,gvc_09bc43163d13;gvc_9cbe822d975b,Lever Lateral Raise | Lever Lateral Raise (version 2),manual_review_required,MERGE_IDENTITY,lever lateral raise,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_9185f28218ce,lever preacher curl,2,3,gvc_9185f28218ce;gvc_7390c0438e97,Lever Preacher Curl | Lever Preacher Curl (version 2),manual_review_required,MERGE_IDENTITY,lever preacher curl,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_691a6660be33,lever seated calf press,2,3,gvc_691a6660be33;gvc_611b89f1e11f,Lever Seated Calf Press | Lever Seated Calf Press (version 2),manual_review_required,MERGE_IDENTITY,lever seated calf press,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_511c5fe0aa59,lever seated calf raise plate loaded,2,3,gvc_511c5fe0aa59;gvc_a93693a7bfac,Lever Seated Calf Raise (plate Loaded) | Lever Seated Calf Raise (plate Loaded) (version 2),manual_review_required,MERGE_IDENTITY,lever seated calf raise plate loaded,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_9f52273874ea,lever seated hip abduction,2,3,gvc_9f52273874ea;gvc_6f1d7b5472e6,Lever Seated Hip Abduction | Lever Seated Hip Abduction (version 2),manual_review_required,MERGE_IDENTITY,lever seated hip abduction,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_58377bed493f,lever seated hip adduction,2,3,gvc_58377bed493f;gvc_24187a45fa1e,Lever Seated Hip Adduction | Lever Seated Hip Adduction (version 2),manual_review_required,MERGE_IDENTITY,lever seated hip adduction,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_7a6118162f2e,lever seated leg press,2,3,gvc_7a6118162f2e;gvc_896981555acf,Lever Seated Leg Press | Lever Seated Leg Press (version 2),manual_review_required,MERGE_IDENTITY,lever seated leg press,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_53d67afbab23,lizard pose,2,3,gvc_53d67afbab23;gvc_e0db49af7f6a,Lizard Pose | Lizard Pose (version 2),manual_review_required,MERGE_IDENTITY,lizard pose,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_6f8a1be8bcee,marching on spot,2,3,gvc_6f8a1be8bcee;gvc_22d95f3776f9,Marching On Spot | Marching On Spot (version 2),manual_review_required,MERGE_IDENTITY,marching on spot,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_bfbcedd2c124,marching on spot press,2,3,gvc_bfbcedd2c124;gvc_865d6f863de6,Marching On Spot Press | Marching On Spot Press (version 2),manual_review_required,MERGE_IDENTITY,marching on spot press,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_4b6625013256,mountain climber,2,3,gvc_4b6625013256;gvc_b5556ef55a33,Mountain Climber | Mountain Climber (version 2),manual_review_required,MERGE_IDENTITY,mountain climber,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_dc30358f3480,prayer push,2,3,gvc_dc30358f3480;gvc_02e9e72af777,Prayer Push | Prayer Push (version 2),manual_review_required,MERGE_IDENTITY,prayer push,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_73152af5433d,resistance band glute bridge,2,3,gvc_73152af5433d;gvc_8e91a9497b02,Resistance Band Glute Bridge | Resistance Band Glute Bridge (version 2),manual_review_required,MERGE_IDENTITY,resistance band glute bridge,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_b8110a5e3a6f,resistance band seated hip abduction,2,3,gvc_b8110a5e3a6f;gvc_74653ab7dc97,Resistance Band Seated Hip Abduction | Resistance Band Seated Hip Abduction (version 2) (,manual_review_required,MERGE_IDENTITY,resistance band seated hip abduction,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_ce198877e0ac,reverse crunch,2,3,gvc_ce198877e0ac;gvc_bf42b9d13e52,Reverse Crunch | Reverse Crunch (version 2),manual_review_required,MERGE_IDENTITY,reverse crunch,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_0a3e614dd820,side crunch,2,3,gvc_0a3e614dd820;gvc_9fc26c42f0ee,Side Crunch | Side Crunch (version 2),manual_review_required,MERGE_IDENTITY,side crunch,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
